"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"1.862 to 18.412","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
