"AUXLR181.Code.or.Value","AUXLR181.Value.Description","AUXLR181.Count","AUXLR181.Cumulative","AUXLR181.Skip.to.Item"
"-6 to 59","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
