"DBQ400.Code.or.Value","DBQ400.Value.Description","DBQ400.Count","DBQ400.Cumulative","DBQ400.Skip.to.Item"
"1","Yes",2195,2195,""
"2","No",325,2520,"DBQ422"
"7","Refused",0,2520,"DBQ422"
"9","Don't know",24,2544,"DBQ422"
".","Missing",7212,9756,""
