"HIQ105.Code.or.Value","HIQ105.Value.Description","HIQ105.Count","HIQ105.Cumulative","HIQ105.Skip.to.Item"
"1","Yes",966,966,NA
"2","No",38,1004,NA
".","Missing",8967,9971,NA
