"DXXSPY.Code.or.Value","DXXSPY.Value.Description","DXXSPY.Count","DXXSPY.Cumulative","DXXSPY.Skip.to.Item"
"0 to 3","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
