"DIQ350U.Code.or.Value","DIQ350U.Value.Description","DIQ350U.Count","DIQ350U.Cumulative","DIQ350U.Skip.to.Item"
"1","Per day",275,275,NA
"2","Per week",85,360,NA
"3","Per month",31,391,NA
"4","Per year",12,403,NA
"7","Refused",0,403,NA
"9","Don't know",0,403,NA
".","Missing",9419,9822,NA
