"LBXBR3.Code.or.Value","LBXBR3.Value.Description","LBXBR3.Count","LBXBR3.Cumulative","LBXBR3.Skip.to.Item"
"9.8 to 13346.5","Range of Values",2016,2016,NA
".","Missing",321,2337,NA
