"RFXT150.Code.or.Value","RFXT150.Value.Description","RFXT150.Count","RFXT150.Cumulative","RFXT150.Skip.to.Item"
"1309 to 1318","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
