"AUXRR249.Code.or.Value","AUXRR249.Value.Description","AUXRR249.Count","AUXRR249.Cumulative","AUXRR249.Skip.to.Item"
"-11 to 27","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
