"LBDSIRSI.Code.or.Value","LBDSIRSI.Value.Description","LBDSIRSI.Count","LBDSIRSI.Cumulative","LBDSIRSI.Skip.to.Item"
"1.25 to 63.94","Range of Values",6890,6890,NA
".","Missing",555,7445,NA
