"RDQ070.Code.or.Value","RDQ070.Value.Description","RDQ070.Count","RDQ070.Cumulative","RDQ070.Skip.to.Item"
"1","Yes",1365,1365,""
"2","No",9094,10459,"RDQ140"
"7","Refused",2,10461,"RDQ140"
"9","Don't know",6,10467,"RDQ140"
".","Missing",3,10470,""
