"WBXP014.Code.or.Value","WBXP014.Value.Description","WBXP014.Count","WBXP014.Cumulative","WBXP014.Skip.to.Item"
"-164.938 to 155.8216","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
