"SMD641.Code.or.Value","SMD641.Value.Description","SMD641.Count","SMD641.Cumulative","SMD641.Skip.to.Item"
"0 to 30","Range of Values",1316,1316,NA
"77","Refused",0,1316,NA
"99","Don't know",0,1316,NA
".","Missing",5852,7168,NA
