"DR1TP226.Code.or.Value","DR1TP226.Value.Description","DR1TP226.Count","DR1TP226.Cumulative","DR1TP226.Skip.to.Item"
"0 to 3.389","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
