"AUXLR215.Code.or.Value","AUXLR215.Value.Description","AUXLR215.Count","AUXLR215.Cumulative","AUXLR215.Skip.to.Item"
"-42 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
