"PAQ625.Code.or.Value","PAQ625.Value.Description","PAQ625.Count","PAQ625.Cumulative","PAQ625.Skip.to.Item"
"1 to 7","Range of Values",2644,2644,""
"77","Refused",0,2644,"PAQ635"
"99","Don't know",2,2646,"PAQ635"
".","Missing",6713,9359,""
