"DXXPT85X.Code.or.Value","DXXPT85X.Value.Description","DXXPT85X.Count","DXXPT85X.Cumulative","DXXPT85X.Skip.to.Item"
"118.7 to 756.4","Range of Values",3292,3292,NA
".","Missing",416,3708,NA
