"DXXRAFAT.Code.or.Value","DXXRAFAT.Value.Description","DXXRAFAT.Count","DXXRAFAT.Cumulative","DXXRAFAT.Skip.to.Item"
"171.8 to 7182.4","Range of Values",4669,4669,NA
".","Missing",1023,5692,NA
