"CIQP13G.Code.or.Value","CIQP13G.Value.Description","CIQP13G.Count","CIQP13G.Cumulative","CIQP13G.Skip.to.Item"
"1","Yes",41,41,NA
"2","No",67,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
