"DR2IRET.Code.or.Value","DR2IRET.Value.Description","DR2IRET.Count","DR2IRET.Cumulative","DR2IRET.Skip.to.Item"
"0 to 17876","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
