"FSQ690.Code.or.Value","FSQ690.Value.Description","FSQ690.Count","FSQ690.Cumulative","FSQ690.Skip.to.Item"
"1","Yes",831,831,""
"2","No",755,1586,"End of Section"
"7","Refused",0,1586,"End of Section"
"9","Don't know",18,1604,"End of Section"
".","Missing",8367,9971,""
