"URDOP1LC.Code.or.Value","URDOP1LC.Value.Description","URDOP1LC.Count","URDOP1LC.Cumulative","URDOP1LC.Skip.to.Item"
"0","At or above the detection limit",1009,1009,NA
"1","Below lower detection limit",1584,2593,NA
".","Missing",101,2694,NA
