"HCQ230.Code.or.Value","HCQ230.Value.Description","HCQ230.Count","HCQ230.Cumulative","HCQ230.Skip.to.Item"
"1","True",19,19,NA
"2","False",3,22,NA
"7","Refused",0,22,NA
"9","Don't know",9,31,NA
".","Missing",62,93,NA
