"PFQ020.Code.or.Value","PFQ020.Value.Description","PFQ020.Count","PFQ020.Cumulative","PFQ020.Skip.to.Item"
"1","Yes",200,200,""
"2","No",4854,5054,"DBD036"
"7","Refused",0,5054,"DBD036"
"9","Don't know",4,5058,"DBD036"
".","Missing",5412,10470,""
