"AUDTYR49.Code.or.Value","AUDTYR49.Value.Description","AUDTYR49.Count","AUDTYR49.Cumulative","AUDTYR49.Skip.to.Item"
"0 to 3.34","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
