"LBXCBC.Code.or.Value","LBXCBC.Value.Description","LBXCBC.Count","LBXCBC.Cumulative","LBXCBC.Skip.to.Item"
"0.495 to 23.1","Range of Values",6224,6224,NA
".","Missing",1211,7435,NA
