"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"2 to 48000","Range of Values",698,698,NA
".","Missing",8556,9254,NA
