"IMQ081C.Code.or.Value","IMQ081C.Value.Description","IMQ081C.Count","IMQ081C.Cumulative","IMQ081C.Skip.to.Item"
"3","GARDASIL 9",22,22,NA
".","Missing",9232,9254,NA
