"WTSSMC4Y.Code.or.Value","WTSSMC4Y.Value.Description","WTSSMC4Y.Count","WTSSMC4Y.Cumulative","WTSSMC4Y.Skip.to.Item"
"769.842844 to 119080.51994","Range of Values",4136,4136,NA
"0","No lab specimen",3,4139,NA
".","Missing",0,4139,NA
