"DXXTSA.Code.or.Value","DXXTSA.Value.Description","DXXTSA.Count","DXXTSA.Cumulative","DXXTSA.Skip.to.Item"
"44.37 to 226.65","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
