"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",156,156,""
"2","No",5793,5949,"DRD370T"
".","Missing",4304,10253,""
