"AUDTYL52.Code.or.Value","AUDTYL52.Value.Description","AUDTYL52.Count","AUDTYL52.Cumulative","AUDTYL52.Skip.to.Item"
"0 to 3.94","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
