"WTMREP04.Code.or.Value","WTMREP04.Value.Description","WTMREP04.Count","WTMREP04.Cumulative","WTMREP04.Skip.to.Item"
"0 to 261672.08293","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
