"URXDPM.Code.or.Value","URXDPM.Value.Description","URXDPM.Count","URXDPM.Cumulative","URXDPM.Skip.to.Item"
"0.354 to 2.27","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
