"LBDVDMLC.Code.or.Value","LBDVDMLC.Value.Description","LBDVDMLC.Count","LBDVDMLC.Cumulative","LBDVDMLC.Skip.to.Item"
"0","At or above detection limit",4,4,NA
"1","Below lower detection limit",2746,2750,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2750,NA
".","Missing",544,3294,NA
