"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","detectable result",11,11,NA
"1","below detectable limit",1218,1229,NA
".","Missing",1318,2547,NA
