"DIQ050.Code.or.Value","DIQ050.Value.Description","DIQ050.Count","DIQ050.Cumulative","DIQ050.Skip.to.Item"
"1","Yes",256,256,""
"2","No",9316,9572,"DIQ065"
"7","Refused",1,9573,"DIQ065"
"9","Don't know",2,9575,"DIQ065"
".","Missing",0,9575,""
