"DSQISUGR.Code.or.Value","DSQISUGR.Value.Description","DSQISUGR.Count","DSQISUGR.Cumulative","DSQISUGR.Skip.to.Item"
"0.2 to 24","Range of Values",1086,1086,NA
".","Missing",8898,9984,NA
