"URXBSM.Code.or.Value","URXBSM.Value.Description","URXBSM.Count","URXBSM.Cumulative","URXBSM.Skip.to.Item"
"0.035 to 0.035","Range of Values",2355,2355,NA
".","Missing",257,2612,NA
