"DXXPT39Y.Code.or.Value","DXXPT39Y.Value.Description","DXXPT39Y.Count","DXXPT39Y.Cumulative","DXXPT39Y.Skip.to.Item"
"100.8 to 285.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
