"BMXCALF.Code.or.Value","BMXCALF.Value.Description","BMXCALF.Count","BMXCALF.Cumulative","BMXCALF.Skip.to.Item"
"21.6 to 61.6","Range of Values",7933,7933,NA
".","Missing",2544,10477,NA
