"TYXP129.Code.or.Value","TYXP129.Value.Description","TYXP129.Count","TYXP129.Cumulative","TYXP129.Skip.to.Item"
"-296 to 36","Range of Values",8133,8133,NA
".","Missing",336,8469,NA
