"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",1702,1702,""
"2","No",3180,4882,"DRD370C"
".","Missing",4662,9544,""
