"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",101124,101124,NA
"2","Spanish",9632,110756,NA
"3","English and Spanish",950,111706,NA
"4","Other",46,111752,NA
"5","Asian Languages",805,112557,NA
"6","Asian Languages and English",21,112578,NA
".","Missing",0,112578,NA
