"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"42.5 to 20250","Range of Values",779,779,NA
".","Missing",8983,9762,NA
