"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",5367,5367,NA
"2","Spanish",446,5813,NA
"3","English and Spanish",78,5891,NA
"4","Other",15,5906,NA
".","Missing",0,5906,NA
