"URXTCV.Code.or.Value","URXTCV.Value.Description","URXTCV.Count","URXTCV.Cumulative","URXTCV.Skip.to.Item"
"2.12 to 4.94","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
