"AUXLR266.Code.or.Value","AUXLR266.Value.Description","AUXLR266.Count","AUXLR266.Cumulative","AUXLR266.Skip.to.Item"
"-32 to 77","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
