"DXXSAY.Code.or.Value","DXXSAY.Value.Description","DXXSAY.Count","DXXSAY.Cumulative","DXXSAY.Skip.to.Item"
"78.5 to 267.7","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
