"RFXT054.Code.or.Value","RFXT054.Value.Description","RFXT054.Count","RFXT054.Cumulative","RFXT054.Skip.to.Item"
"460 to 469","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
