"LEXBRP1.Code.or.Value","LEXBRP1.Value.Description","LEXBRP1.Count","LEXBRP1.Cumulative","LEXBRP1.Skip.to.Item"
"85 to 241","Range of Values",2544,2544,NA
".","Missing",331,2875,NA
