"VTQ210.Code.or.Value","VTQ210.Value.Description","VTQ210.Count","VTQ210.Cumulative","VTQ210.Skip.to.Item"
"1","Yes",1205,1205,NA
"2","No",2135,3340,NA
"7","Refused",0,3340,NA
"9","Don't know",1,3341,NA
".","Missing",404,3745,NA
