"LBD101LC.Code.or.Value","LBD101LC.Value.Description","LBD101LC.Count","LBD101LC.Cumulative","LBD101LC.Skip.to.Item"
"0","At or above the detection limit",1843,1843,NA
"1","Below lower detection limit",54,1897,NA
".","Missing",388,2285,NA
