"CIQD038.Code.or.Value","CIQD038.Value.Description","CIQD038.Count","CIQD038.Cumulative","CIQD038.Skip.to.Item"
"1","Respondent Gives Reason",54,54,""
"5","No Particular Reason",21,75,"CIQD041"
"7","Refuse",0,75,"CIQD041"
"9","Don't know",0,75,"CIQD041"
".","Missing",775,850,""
