"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"10.9 to 58.4","Range of Values",5090,5090,NA
".","Missing",690,5780,NA
