"LBXVE3MS.Code.or.Value","LBXVE3MS.Value.Description","LBXVE3MS.Count","LBXVE3MS.Cumulative","LBXVE3MS.Skip.to.Item"
"1.16 to 31.16","Range of Values",7664,7664,NA
".","Missing",1292,8956,NA
