"AUXLR217.Code.or.Value","AUXLR217.Value.Description","AUXLR217.Count","AUXLR217.Cumulative","AUXLR217.Skip.to.Item"
"-13 to 82","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
