"LBXVCB.Code.or.Value","LBXVCB.Value.Description","LBXVCB.Count","LBXVCB.Cumulative","LBXVCB.Skip.to.Item"
"0.0078 to 0.082","Range of Values",2797,2797,NA
".","Missing",497,3294,NA
