"DS2ISODI.Code.or.Value","DS2ISODI.Value.Description","DS2ISODI.Count","DS2ISODI.Cumulative","DS2ISODI.Skip.to.Item"
"0.4 to 690","Range of Values",446,446,NA
".","Missing",5253,5699,NA
