"AUXLR119.Code.or.Value","AUXLR119.Value.Description","AUXLR119.Count","AUXLR119.Cumulative","AUXLR119.Skip.to.Item"
"-41 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
