"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"1.2 to 11800","Range of Values",2593,2593,NA
".","Missing",162,2755,NA
