"LBD178LC.Code.or.Value","LBD178LC.Value.Description","LBD178LC.Count","LBD178LC.Cumulative","LBD178LC.Skip.to.Item"
"0","detectable result",314,314,NA
"1","below detectable limit",1985,2299,NA
".","Missing",248,2547,NA
