"OHQ660.Code.or.Value","OHQ660.Value.Description","OHQ660.Count","OHQ660.Cumulative","OHQ660.Skip.to.Item"
"1","Very often",201,201,NA
"2","Fairly often",190,391,NA
"3","Occasionally",579,970,NA
"4","Hardly ever, or",507,1477,NA
"5","Never?",4728,6205,NA
"7","Refused",1,6206,NA
"9","Don't know",7,6213,NA
".","Missing",3091,9304,NA
