"MGQ070.Code.or.Value","MGQ070.Value.Description","MGQ070.Count","MGQ070.Cumulative","MGQ070.Skip.to.Item"
"1","Yes",812,812,NA
"2","No",6313,7125,NA
"7","Refused",1,7126,NA
"9","Don't know",4,7130,NA
".","Missing",691,7821,NA
